iter	Passed	Remaining
0	47	47121
1	50	24979
2	52	17424
3	54	13631
4	56	11311
5	59	9795
6	61	8685
7	63	7838
8	65	7184
9	67	6639
10	68	6202
11	70	5795
12	72	5485
13	73	5204
14	76	5005
15	78	4824
16	80	4631
17	81	4443
18	83	4290
19	84	4146
20	85	4000
21	87	3891
22	88	3779
23	90	3674
24	91	3552
25	92	3453
26	93	3359
27	94	3266
28	94	3178
29	95	3099
30	96	3022
31	97	2951
32	98	2884
33	99	2817
34	99	2752
35	100	2691
36	101	2633
37	101	2579
38	102	2527
39	103	2476
40	103	2427
41	104	2379
42	104	2334
43	105	2290
44	105	2246
45	106	2203
46	106	2158
47	106	2120
48	107	2078
49	107	2046
50	108	2012
51	108	1976
52	108	1944
53	109	1913
54	109	1885
55	110	1856
56	110	1829
57	111	1804
58	111	1780
59	112	1756
60	112	1732
61	112	1708
62	113	1686
63	113	1666
64	114	1643
65	114	1623
66	115	1601
67	115	1582
68	115	1563
69	116	1545
70	116	1527
71	117	1510
72	117	1493
73	117	1476
74	118	1460
75	118	1444
76	119	1429
77	119	1414
78	119	1398
79	120	1384
80	120	1370
81	121	1357
82	121	1344
83	122	1331
84	122	1318
85	122	1305
86	123	1293
87	123	1281
88	123	1268
89	124	1257
90	124	1246
91	125	1236
92	125	1225
93	126	1214
94	126	1203
95	126	1192
96	127	1182
97	127	1172
98	127	1161
99	128	1152
100	128	1143
101	128	1134
102	129	1125
103	129	1117
104	130	1108
105	130	1100
106	130	1092
107	131	1084
108	131	1076
109	132	1068
110	132	1061
111	132	1053
112	133	1046
113	133	1039
114	134	1032
115	134	1025
116	134	1018
117	135	1011
118	135	1004
119	136	998
120	136	991
121	136	985
122	137	979
123	137	974
124	138	968
125	138	962
126	139	956
127	139	950
128	139	945
129	140	939
130	140	934
131	141	928
132	141	923
133	142	917
134	142	912
135	142	907
136	143	902
137	143	897
138	144	893
139	144	888
140	145	883
141	145	879
142	145	874
143	146	869
144	146	865
145	147	860
146	147	856
147	148	852
148	148	848
149	149	844
150	149	839
151	149	835
152	150	831
153	150	827
154	151	823
155	151	819
156	151	815
157	152	811
158	152	808
159	153	803
160	153	799
161	153	795
162	154	792
163	154	788
164	155	785
165	155	781
166	156	778
167	156	774
168	156	771
169	157	767
170	157	764
171	158	760
172	158	757
173	158	754
174	159	750
175	159	747
176	160	744
177	160	741
178	160	738
179	161	735
180	161	732
181	162	729
182	162	726
183	163	722
184	163	719
185	163	716
186	164	713
187	164	711
188	165	708
189	165	705
190	165	702
191	166	700
192	166	697
193	167	694
194	167	692
195	168	689
196	168	686
